City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Paamiut,GL,61.994,-49.6678,29.16,77,100,5.64,overcast clouds
237,Bathsheba,BB,13.2167,-59.5167,81.03,70,100,18.14,overcast clouds
238,Goksun,TR,38.021,36.4973,60.1,43,94,6.22,overcast clouds
239,Palmerston,AU,-12.486,130.9833,80.58,88,65,0.0,broken clouds
240,Gizo,SB,-8.103,156.8419,81.45,77,100,7.81,overcast clouds
241,Hudson,US,40.7168,-74.0663,50.4,41,20,20.71,few clouds
242,New Norfolk,AU,-42.7826,147.0587,63.9,60,100,4.0,light rain
243,Maldonado,UY,-34.6667,-54.9167,70.99,59,100,5.28,overcast clouds
244,Saint-Francois,FR,46.4154,3.9054,68.68,32,0,5.75,clear sky
245,Bjornevatn,NO,69.6672,29.9847,37.74,93,75,10.36,broken clouds
246,Sinnamary,GF,5.3833,-52.95,82.2,73,66,9.93,broken clouds
247,Poyarkovo,RU,49.6,128.6833,35.1,64,12,4.5,few clouds
248,Lavrentiya,RU,65.5833,-171.0,28.9,96,100,13.18,light snow
249,Praia,CV,14.9215,-23.5087,82.94,51,20,16.11,few clouds
250,Srednekolymsk,RU,67.45,153.6833,6.4,98,100,5.17,overcast clouds
251,Puerto Leguizamo,CO,-0.1934,-74.7819,80.74,82,99,2.37,overcast clouds
252,Praia Da Vitoria,PT,38.7333,-27.0667,59.9,70,9,11.81,clear sky
253,Suoyarvi,RU,62.0833,32.35,40.91,80,100,5.86,overcast clouds
254,Basco,PH,20.4487,121.9702,76.64,76,67,19.1,broken clouds
255,Riyadh,SA,24.6877,46.7219,87.94,12,0,13.69,clear sky
256,Vostok,RU,46.4856,135.8833,24.57,85,24,4.7,few clouds
257,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.25,70,60,7.47,broken clouds
258,Abha,SA,18.2164,42.5053,71.85,35,40,9.22,moderate rain
259,Tura,IN,25.5198,90.2201,69.28,87,2,8.72,clear sky
260,Kayerkan,RU,69.3497,87.7602,8.6,96,100,12.64,light snow
261,Belmonte,BR,-15.8631,-38.8828,77.23,81,100,15.3,overcast clouds
262,Crib Point,AU,-38.35,145.2,65.89,93,100,12.95,moderate rain
263,Deneysville,ZA,-26.8908,28.0971,53.65,95,100,4.12,moderate rain
264,Devils Lake,US,48.1128,-98.8651,19.94,91,100,16.11,mist
265,Hamilton,US,39.1834,-84.5333,44.22,47,0,9.22,clear sky
266,Cortes,ES,41.9395,-1.4396,77.05,35,90,16.46,overcast clouds
267,Ust-Nera,RU,64.5667,143.2,3.6,99,83,2.01,broken clouds
268,Kano,NG,12.0001,8.5167,98.56,22,97,8.08,overcast clouds
269,Acapulco,MX,16.8634,-99.8901,82.36,52,45,2.73,scattered clouds
270,Bulgan,MN,48.8125,103.5347,42.21,40,22,3.96,few clouds
271,Torit,SS,4.4133,32.5678,91.02,36,98,0.43,overcast clouds
272,Veinticinco De Mayo,AR,-35.4323,-60.1727,68.99,61,100,6.67,overcast clouds
273,Ermoupolis,GR,37.4423,24.9425,68.7,52,40,8.05,scattered clouds
274,Guerrero Negro,MX,27.9769,-114.0611,62.31,76,42,13.22,scattered clouds
275,Esperance,AU,-33.8667,121.9,59.94,61,79,10.58,broken clouds
276,Birjand,IR,32.8663,59.2211,71.98,24,94,14.43,overcast clouds
277,Cortez,US,37.3489,-108.5859,54.03,46,0,4.61,clear sky
278,Ketchikan,US,55.3422,-131.6461,37.38,86,0,6.91,clear sky
279,Peleduy,RU,59.6289,112.7406,41.56,99,100,15.41,overcast clouds
280,Evensk,RU,61.95,159.2333,24.03,85,100,8.81,overcast clouds
281,Camacupa,AO,-12.0167,17.4833,71.58,77,92,3.89,light rain
282,Ayan,RU,56.45,138.1667,21.51,87,60,6.15,broken clouds
283,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,light snow
284,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,37,0,13.8,clear sky
285,Saldanha,ZA,-33.0117,17.9442,63.52,62,2,11.05,clear sky
286,Mokrousovo,RU,55.8103,66.7653,41.59,60,12,6.51,few clouds
287,Bagado,CO,5.4116,-76.4152,85.32,65,76,2.98,broken clouds
288,Korla,CN,41.7597,86.1469,59.76,13,0,2.48,clear sky
289,Linhares,BR,-19.3911,-40.0722,81.39,53,95,10.69,overcast clouds
290,Half Moon Bay,US,37.4636,-122.4286,50.05,84,75,5.75,broken clouds
291,Zhoucheng,CN,35.9122,116.3117,56.28,36,100,7.11,moderate rain
292,Englewood,US,39.6478,-104.9878,60.76,43,20,5.75,few clouds
293,Nalut,LY,30.3333,10.85,73.06,22,0,14.47,clear sky
294,Fasa,IR,28.9383,53.6482,70.34,9,2,10.76,clear sky
295,Dudinka,RU,69.4058,86.1778,8.1,94,100,13.76,light snow
296,Salalah,OM,17.0151,54.0924,84.29,84,40,9.22,scattered clouds
297,Joshimath,IN,30.5667,79.5667,58.77,52,79,7.78,broken clouds
298,Sovetskiy,RU,61.3614,63.5842,25.72,85,65,3.83,broken clouds
299,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,59,0,10.69,clear sky
300,Ahipara,NZ,-35.1667,173.1667,67.78,93,100,15.57,moderate rain
301,Tucurui,BR,-3.7661,-49.6725,84.49,77,73,1.28,broken clouds
302,Djibo,BF,14.1022,-1.6306,100.24,7,98,15.21,overcast clouds
303,Liverpool,GB,53.4106,-2.9779,67.98,54,40,17.27,scattered clouds
304,Conceicao Do Araguaia,BR,-8.2578,-49.2647,80.02,81,99,6.69,light rain
305,Chumphon,TH,10.3333,98.8333,75.04,90,54,0.11,broken clouds
306,Kichmengskiy Gorodok,RU,59.9816,45.7854,37.45,72,67,2.89,broken clouds
307,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,66,75,9.22,broken clouds
308,Mapiripan,CO,2.8892,-72.1256,82.47,71,86,0.4,overcast clouds
309,Auki,SB,-8.7676,160.7034,76.78,86,100,4.18,overcast clouds
310,Clyde River,CA,70.4692,-68.5914,-6.81,93,99,4.81,overcast clouds
311,Lompoc,US,34.6391,-120.4579,53.02,89,100,13.0,mist
312,Harda,IN,22.3333,77.1,95.32,12,24,7.76,few clouds
313,Hit,IQ,33.6416,42.8251,82.08,12,0,7.43,clear sky
314,Kheralu,IN,23.8833,72.6167,89.78,18,0,10.78,clear sky
315,Santa Maria,BR,-29.6842,-53.8069,68.58,64,82,8.52,broken clouds
316,Abu Samrah,SY,35.3029,37.1841,80.98,14,100,9.95,overcast clouds
317,Luan,CH,46.3592,6.9759,56.03,54,33,10.0,scattered clouds
318,Hami,CN,42.8,93.45,60.69,14,0,6.6,clear sky
319,Svetlaya,RU,46.5389,138.3297,35.33,73,80,6.49,broken clouds
320,Puerto Madero,MX,14.7208,-92.4215,86.2,70,0,6.91,clear sky
321,Zaoyang,CN,32.1272,112.7542,52.65,75,99,4.14,overcast clouds
322,Neka,IR,36.6508,53.299,54.23,70,100,2.73,overcast clouds
323,Touros,BR,-5.1989,-35.4608,86.22,63,97,10.4,overcast clouds
324,Urumqi,CN,43.801,87.6005,63.55,9,0,8.95,clear sky
325,Mahajanga,MG,-15.7167,46.3167,84.99,59,2,2.89,clear sky
326,Goundam,ML,16.4145,-3.6708,96.78,8,0,14.79,clear sky
327,Durres,AL,41.3231,19.4414,64.58,61,100,17.25,overcast clouds
328,Jinchang,CN,38.4953,102.1739,44.74,29,10,7.72,clear sky
329,Kalmar,SE,56.6616,16.3616,51.96,71,0,10.36,clear sky
330,Gigmoto,PH,13.7796,124.39,78.75,84,53,8.61,broken clouds
331,Byron Bay,AU,-28.65,153.6167,63.95,81,86,6.35,overcast clouds
332,Quelimane,MZ,-17.8786,36.8883,78.06,82,51,7.0,broken clouds
333,Chitral,PK,35.8462,71.7858,66.36,42,5,2.33,clear sky
334,Boa Vista,BR,2.8197,-60.6733,87.78,55,75,12.66,broken clouds
335,Whitehorse,CA,60.7161,-135.0538,20.17,62,75,6.91,light snow
336,Palembang,ID,-2.9167,104.7458,78.89,89,40,5.75,heavy intensity rain
337,Taltal,CL,-25.4,-70.4833,66.97,63,0,7.31,clear sky
338,Padang,ID,-0.9492,100.3543,79.39,88,100,3.15,moderate rain
339,Gamba,GA,-2.65,10.0,83.14,72,85,8.88,overcast clouds
340,Hirara,JP,24.8,125.2833,70.99,68,57,11.56,broken clouds
341,Roma,US,43.2128,-75.4557,37.96,90,100,11.99,overcast clouds
342,Andra,RU,62.5147,65.8878,24.31,97,100,1.72,light snow
343,Hustopece,CZ,48.9408,16.7376,57.94,45,70,11.81,broken clouds
344,Salinopolis,BR,-0.6136,-47.3561,82.63,78,100,5.14,light rain
345,Lata,PT,40.1629,-8.3327,73.51,44,99,9.6,overcast clouds
346,Lieksa,FI,63.3167,30.0167,39.87,82,100,5.03,overcast clouds
347,Hervey Bay,AU,-25.2986,152.8535,65.01,87,21,11.01,few clouds
348,Uvinza,TZ,-5.1036,30.3911,73.47,90,64,3.09,light rain
349,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,2.3,overcast clouds
350,Eenhana,NA,-17.4667,16.3333,80.49,50,99,4.59,overcast clouds
351,Raga,SS,8.4596,25.678,97.48,24,94,4.59,overcast clouds
352,Adamas,GR,36.7333,24.4333,61.86,84,31,13.71,scattered clouds
353,Cam Ranh,VN,11.9214,109.1591,78.76,89,20,10.36,few clouds
354,Qasigiannguit,GL,68.8193,-51.1922,19.65,83,41,3.65,scattered clouds
355,San Buenaventura,MX,27.0833,-101.5333,82.47,61,0,6.91,clear sky
356,Makakilo City,US,21.3469,-158.0858,72.01,75,0,11.5,clear sky
357,Lagoa,PT,39.05,-27.9833,57.88,70,25,14.05,scattered clouds
358,Buraydah,SA,26.326,43.975,87.66,8,0,10.33,clear sky
359,Provideniya,RU,64.3833,-173.3,30.63,96,100,22.66,light snow
360,Yumen,CN,40.2833,97.2,48.54,22,0,9.17,clear sky
361,Port Blair,IN,11.6667,92.75,83.21,68,39,3.11,scattered clouds
362,Kaukauna,US,44.278,-88.272,33.1,62,75,5.75,broken clouds
363,Wanning,CN,18.8003,110.3967,76.26,90,77,9.08,broken clouds
364,Sorland,NO,67.667,12.6934,42.3,90,100,19.64,overcast clouds
365,Encinitas,US,33.037,-117.292,62.76,88,20,5.01,few clouds
366,Huayang,CN,34.4155,109.9939,43.61,63,100,5.17,overcast clouds
367,Nanortalik,GL,60.1432,-45.2371,30.83,79,100,6.51,overcast clouds
368,Wilmington,US,34.2257,-77.9447,75.99,65,0,10.36,clear sky
369,Kamenka,RU,51.3223,42.7678,55.13,70,99,3.89,overcast clouds
370,Nongan,CN,44.382,125.1685,44.51,24,91,5.21,overcast clouds
371,Slawno,PL,54.3628,16.6789,49.55,53,55,11.03,broken clouds
372,Sohag,EG,26.557,31.6948,104.9,6,100,9.37,overcast clouds
373,Mehamn,NO,71.0357,27.8492,37.74,98,100,7.38,overcast clouds
374,Diffa,NE,13.3154,12.6113,104.09,7,18,8.39,few clouds
375,Rawson,AR,-43.3002,-65.1023,62.17,61,36,21.77,scattered clouds
376,Sanok,PL,49.5557,22.2056,45.28,100,100,10.94,overcast clouds
377,Ilulissat,GL,69.2167,-51.1,19.42,63,75,5.75,broken clouds
378,Berlevag,NO,70.8578,29.0864,37.2,94,100,11.43,overcast clouds
379,Lokoja,NG,7.8024,6.743,98.11,38,87,11.07,light rain
380,Isnos,CO,1.9356,-76.2406,65.08,85,98,1.7,overcast clouds
381,Namatanai,PG,-3.6667,152.4333,80.87,78,98,8.59,overcast clouds
382,Lazaro Cardenas,MX,17.9583,-102.2,78.37,67,79,4.52,broken clouds
383,Tutoia,BR,-2.7619,-42.2744,82.09,86,78,8.08,broken clouds
384,Kindersley,CA,51.4668,-109.1682,27.23,61,100,1.5,overcast clouds
385,Leningradskiy,RU,69.3833,178.4167,-0.71,96,34,3.38,scattered clouds
386,Floriano,BR,-6.7669,-43.0225,87.62,63,52,2.91,broken clouds
387,Miracema Do Tocantins,BR,-9.5618,-48.3967,76.82,86,100,4.05,moderate rain
388,Mocuba,MZ,-16.8392,36.9856,74.79,93,31,5.53,light rain
389,Rorvik,NO,64.8621,11.2373,46.24,69,96,6.06,overcast clouds
390,Ikalamavony,MG,-21.15,46.5833,72.41,69,1,7.34,clear sky
391,Suwannaphum,TH,15.6035,103.8021,86.86,60,100,7.83,overcast clouds
392,Rio Grande,BR,-32.035,-52.0986,71.94,61,81,9.46,broken clouds
393,Campina Verde,BR,-19.5356,-49.4864,80.28,46,0,3.85,clear sky
394,Bubaque,GW,11.2833,-15.8333,77.67,61,57,14.9,broken clouds
395,Atwater,US,37.3477,-120.6091,51.91,71,0,5.75,clear sky
396,Hobyo,SO,5.3505,48.5268,84.43,75,17,17.54,few clouds
397,Ulladulla,AU,-35.35,150.4667,60.03,81,74,7.29,broken clouds
398,Grindavik,IS,63.8424,-22.4338,45.07,61,75,11.5,broken clouds
399,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,93,100,9.22,overcast clouds
400,Melville,US,40.7934,-73.4151,49.87,40,0,23.02,clear sky
401,Hofn,IS,64.2539,-15.2082,46.65,82,22,8.46,few clouds
402,Buala,SB,-8.145,159.5921,79.84,81,98,5.84,light rain
403,Kviteseid,NO,59.4022,8.4927,62.83,51,85,2.01,overcast clouds
404,Owensboro,US,37.7742,-87.1133,49.26,53,0,14.97,clear sky
405,Jieshi,CN,22.8134,115.8257,70.95,77,62,17.47,broken clouds
406,Flinders,AU,-34.5833,150.8552,66.38,84,40,8.3,scattered clouds
407,Yaita,JP,36.8,139.9333,51.28,94,98,1.5,overcast clouds
408,Sabya,SA,17.1495,42.6254,89.76,47,7,11.14,clear sky
409,Teahupoo,PF,-17.8333,-149.2667,71.56,76,24,13.76,few clouds
410,Sitka,US,57.0531,-135.33,37.29,70,75,0.0,broken clouds
411,Kizema,RU,61.113,44.8302,37.29,76,96,6.17,overcast clouds
412,Hualmay,PE,-11.0964,-77.6139,69.67,76,61,6.82,broken clouds
413,Muzhi,RU,65.3667,64.6667,17.17,82,12,5.39,few clouds
414,Barbacena,BR,-21.2258,-43.7736,66.87,63,0,6.06,clear sky
415,Poum,NC,-20.2333,164.0167,78.12,63,53,1.92,broken clouds
416,Cherskiy,RU,68.75,161.3,-1.21,99,100,5.86,overcast clouds
417,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,88,75,8.05,broken clouds
418,Baruun-Urt,MN,46.6806,113.2792,42.53,29,21,7.07,few clouds
419,Kavaratti,IN,10.5669,72.642,84.94,71,15,6.89,few clouds
420,Diamantino,BR,-14.4086,-56.4461,83.46,61,65,6.96,broken clouds
421,Solnechnyy,RU,50.7214,136.6319,25.84,95,100,4.81,light snow
422,West Wendover,US,40.7391,-114.0733,40.21,48,0,5.75,clear sky
423,Chulakivka,UA,46.3576,32.3514,43.43,90,100,14.14,light rain
424,Ouango,CF,4.3133,22.5552,90.81,43,46,4.38,scattered clouds
425,Obo,CF,5.3998,26.4869,91.96,33,79,5.44,broken clouds
426,Sibu,MY,2.3,111.8167,75.61,98,81,1.81,broken clouds
427,Bonthe,SL,7.5264,-12.505,86.52,52,100,11.56,overcast clouds
428,Ajdabiya,LY,30.7554,20.2263,66.9,66,0,18.95,clear sky
429,Loma De Gato,PH,14.7833,121.0,82.2,68,65,2.35,broken clouds
430,Saint-Pierre,RE,-21.3393,55.4781,78.48,83,0,18.41,clear sky
431,Bassar,TG,9.25,0.7833,95.18,31,81,4.7,broken clouds
432,Maniitsoq,GL,65.4167,-52.9,22.55,61,99,1.34,overcast clouds
433,Salinas,US,36.6777,-121.6555,49.06,83,100,4.61,overcast clouds
434,Bara,NG,10.3744,10.7288,96.85,31,81,4.56,broken clouds
435,Sale,MA,34.0389,-6.8166,86.63,44,100,8.05,overcast clouds
436,Esil,KZ,51.9556,66.4042,56.62,44,99,9.46,overcast clouds
437,Lokosovo,RU,61.1333,74.8167,22.1,91,99,5.59,overcast clouds
438,Najran,SA,17.4924,44.1277,88.61,12,59,9.64,broken clouds
439,Vygonichi,RU,53.0985,34.0673,32.11,100,100,8.95,light snow
440,Stromness,GB,58.965,-3.296,53.56,84,100,8.99,overcast clouds
441,Shimoda,JP,34.6667,138.95,54.1,78,74,6.67,broken clouds
442,Tumut,AU,-35.3,148.2167,57.31,61,100,3.4,overcast clouds
443,Turukhansk,RU,65.8167,87.9833,14.65,94,100,15.01,light snow
444,Kajaani,FI,64.2273,27.7285,48.25,53,0,9.22,clear sky
445,Kieta,PG,-6.2167,155.6333,79.68,82,100,2.51,overcast clouds
446,Mersin,TR,36.862,34.6509,74.57,40,96,6.89,overcast clouds
447,Muravlenko,RU,63.7898,74.523,12.2,86,98,7.38,overcast clouds
448,Pangkalanbuun,ID,-2.6833,111.6167,76.93,89,87,1.74,overcast clouds
