City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Campina Verde,BR,80.28,clear sky,-19.5356,-49.4864,Hotel Lino
394,Bubaque,GW,77.67,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
396,Hobyo,SO,84.43,few clouds,5.3505,48.5268,Iftin hotel hobyo
402,Buala,SB,79.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
405,Jieshi,CN,70.95,broken clouds,22.8134,115.8257,Yuehai Hotel
408,Sabya,SA,89.76,clear sky,17.1495,42.6254,Aseel Hotel Apartment
409,Teahupoo,PF,71.56,few clouds,-17.8333,-149.2667,Vanira Lodge
417,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
419,Kavaratti,IN,84.94,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
420,Diamantino,BR,83.46,broken clouds,-14.4086,-56.4461,Hotel Delta
426,Sibu,MY,75.61,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
427,Bonthe,SL,86.52,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
429,Loma De Gato,PH,82.2,broken clouds,14.7833,121.0,Hidden Sanctuary Hotel and Resort Marilao Bulacan
430,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
435,Sale,MA,86.63,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
438,Najran,SA,88.61,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
445,Kieta,PG,79.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
446,Mersin,TR,74.57,overcast clouds,36.862,34.6509,Nostalgia Boutique Hotel
448,Pangkalanbuun,ID,76.93,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
450,Zhanakorgan,KZ,78.08,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
452,Rodrigues Alves,BR,84.4,clear sky,-7.738,-72.6509,Pousada Aconchego
453,Marsa Matruh,EG,73.56,overcast clouds,31.3525,27.2453,Beau Site
456,Palamos,ES,72.0,clear sky,41.8484,3.1291,Hotel Rosamar
458,Caravelas,BR,79.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
460,Madang,PG,76.53,heavy intensity rain,-5.2246,145.7966,Comfort Inn Hotel
465,Banjar,ID,79.61,overcast clouds,-8.19,114.9675,The Hamsa Resort
466,Puntarenas,CR,87.21,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
467,Gazipur,BD,85.96,haze,23.9981,90.423,Murshida & Zakir's Nest
469,Naliya,IN,81.59,clear sky,23.2667,68.8333,jadeja jayendrasinh
470,Teacapan,MX,76.01,broken clouds,22.55,-105.75,Hotel los Mangos
471,Inongo,CD,79.65,overcast clouds,-1.95,18.2667,Hotel Du Lac
472,Santa Cruz De La Palma,ES,73.54,clear sky,28.6835,-17.7642,H10 Taburiente Playa
481,Naifaru,MV,84.9,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
484,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
486,Alyangula,AU,79.29,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
488,Broken Hill,AU,72.68,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
489,Carapegua,PY,72.19,scattered clouds,-25.8,-57.2333,Maria Celia La Posada
490,Madras,IN,85.98,scattered clouds,13.0878,80.2785,"Taj Connemara, Chennai"
492,Faya,SA,72.12,moderate rain,18.3851,42.4509,املاك خالد الشعشوع
498,Nhamunda,BR,84.7,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
500,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
501,Santa Fe,AR,73.98,light rain,-31.6333,-60.7,Conquistador Hotel
502,Faanui,PF,81.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
511,Dwarka,IN,81.25,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
512,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
513,Puri,IN,84.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
514,Sao Felix Do Xingu,BR,82.29,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
521,Ibatiba,BR,73.0,scattered clouds,-20.2339,-41.5106,Hotel Nacional Ibatiba
526,Akyab,MM,82.71,few clouds,20.15,92.9,Hotel Memory
527,Komsomolskiy,UZ,78.75,broken clouds,40.4272,71.7189,Ikathouse
529,Mbandaka,CD,85.24,overcast clouds,0.0487,18.2603,Guest House Epervier
532,Honiara,SB,77.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
